application_produced_year,sic,desktop_cpu_keywords,server_cpu_keywords,mobile_cpu_keywords,server_gpu_keywords,mobile_gpu_keywords,sum_obs,desktop_cpu_keywords_fraction,server_cpu_keywords_fraction,mobile_cpu_keywords_fraction,server_gpu_keywords_fraction,mobile_gpu_keywords_fraction
2004,1,0,0,0,0,0,0,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2016,1,0,1,4,0,1,6,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2006,1,2,1,4,1,2,10,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2007,1,0,0,5,0,5,10,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2008,1,1,1,5,1,3,11,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2014,1,0,1,5,0,5,11,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2013,1,1,1,6,1,3,12,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2011,1,2,1,6,0,4,13,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2005,1,1,1,5,1,6,14,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2012,1,3,0,7,0,4,14,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2009,1,3,1,6,2,4,16,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2017,1,3,2,11,1,4,21,0.14285714,0.0952381,0.52380952,0.04761905,0.19047619
2010,1,3,2,12,1,7,25,0.12,0.08,0.48,0.04,0.28
2015,1,5,3,12,0,6,26,0.19230769,0.11538462,0.46153846,0,0.23076923
2018,1,7,5,16,3,10,41,0.17073171,0.12195122,0.3902439,0.07317073,0.24390244
2004,2,0,0,0,0,0,0,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2010,2,0,0,0,0,1,1,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2013,2,0,1,1,1,1,4,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2005,2,0,1,2,0,3,6,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2007,2,2,1,2,1,0,6,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2011,2,3,0,4,0,0,7,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2008,2,2,1,3,2,3,11,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2012,2,1,1,3,3,3,11,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2006,2,2,1,4,2,3,12,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2017,2,3,2,4,1,2,12,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2009,2,3,1,6,2,2,14,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
