"","app_num","year","sic","class"
"1",15125517,2016,16,"No"
"2",15056739,2016,15,"No"
"3",15303387,2016,43,"No"
"4",15318238,2016,43,"Yes"
"5",15157153,2016,27,"No"
"6",15243815,2016,29,"No"
"7",14913186,2016,30,"No"
"8",15396365,2016,56,"Yes"
"9",14906090,2016,55,"No"
"10",15345411,2016,27,"Yes"
"11",15135927,2016,38,"No"
"12",15024055,2016,55,"No"
"13",15386074,2016,55,"No"
"14",15113940,2016,14,"No"
"15",15022504,2016,29,"No"
"16",15131338,2016,55,"No"
"17",15028765,2016,54,"No"
"18",15235031,2016,56,"No"
"19",15039664,2016,31,"No"
"20",15111877,2016,25,"No"
"21",15186679,2016,27,"Yes"
"22",15192155,2016,39,"Yes"
"23",15056242,2016,27,"memory"
"24",15224535,2016,27,"Yes"
"25",15257138,2016,43,"Yes"
"26",15063341,2016,55,"Yes"
"27",15351644,2016,27,"Yes"
"28",14990823,2016,25,"No"
"29",15246175,2016,25,"Yes"
"30",15149006,2016,14,"Yes"
"31",15049588,2016,11,"channel"
"32",15186524,2016,31,"Yes"
"33",15030382,2016,38,"Yes"
"34",15146309,2016,24,"No"
"35",15315803,2016,29,"No"
"36",15128139,2016,30,"No"
"37",15237679,2016,27,"No"
"38",15146705,2016,55,"No"
"39",15230576,2016,55,"Yes"
"40",15024593,2016,55,"No"
"41",15041542,2016,27,"No"
"42",15338365,2016,56,"No"
"43",15200709,2016,26,"No"
"44",15144369,2016,27,"No"
"45",15282253,2016,27,"No"
"46",15298058,2016,56,"No"
"47",15172382,2016,27,"No"
"48",15378872,2016,30,"Yes"
"49",15242702,2016,43,"No"
"50",15376787,2016,43,"No"
"51",15111203,2016,21,"Yes"
"52",15227504,2016,55,"Yes"
"53",15040401,2016,35,"Yes"
"54",15266316,2016,56,"No"
"55",15351876,2016,56,"Yes"
"56",15122504,2016,55,"No"
"57",15278899,2016,54,"Yes"
"58",15245793,2016,27,"No"
"59",15374146,2016,46,"No"
"60",15160710,2016,7,"Yes"
"61",15204369,2016,27,"No"
"62",15063065,2016,43,"Yes"
"63",15262696,2016,21,"No"
"64",15115411,2016,40,"Yes"
"65",15043476,2016,43,"Yes"
"66",15125075,2016,30,"No"
"67",14993200,2016,29,"the"
"68",15086370,2016,39,"No"
"69",15199405,2016,43,"ab"
"70",15259984,2016,35,"Yes"
"71",15142285,2016,54,"in"
"72",15283088,2016,36,"Yes"
"73",15337862,2016,25,"No"
"74",15367204,2016,27,"No"
"75",15341173,2016,55,"No"
"76",15139901,2016,56,"Yes"
"77",15262467,2016,55,"Yes"
"78",15174218,2016,56,"No"
"79",15138964,2016,21,"No"
"80",15323212,2016,21,"No"
"81",15390986,2016,36,"No"
"82",15291756,2016,30,"analysis"
"83",15116599,2016,55,"No"
"84",15350531,2016,30,"Yes"
"85",15220862,2016,1,"No"
"86",14780709,2016,13,"No"
"87",15041452,2016,27,"No"
"88",14991365,2016,55,"No"
"89",15129614,2016,35,"be"
"90",15010609,2016,56,"No"
"91",15348045,2016,56,"No"
"92",14987415,2016,55,"No"
"93",15029872,2016,52,"Yes"
"94",15267828,2016,43,"channels"
"95",15095185,2016,56,"Yes"
"96",15031858,2016,43,"Yes"
"97",15254973,2016,35,"Yes"
"98",14908740,2016,17,"Yes"
"99",15000408,2016,38,"No"
"100",15022959,2016,54,"No"
"101",15226277,2016,46,"No"
"102",15246622,2016,40,"No"
"103",15348079,2016,27,"Yes"
"104",15218281,2016,29,"Yes"
"105",14907845,2016,36,"Yes"
"106",15084056,2016,30,"Yes"
"107",15111948,2016,30,"No"
"108",15071578,2016,54,"No"
"109",15058423,2016,30,"Yes"
"110",15303777,2016,35,"No"
"111",15040553,2016,17,"Yes"
"112",15235489,2016,56,"No"
"113",15259231,2016,55,"processor"
"114",15227727,2016,27,"Yes"
"115",15208928,2016,43,"Yes"
"116",15392108,2016,27,"Yes"
"117",15262346,2016,43,"Yes"
"118",15270285,2016,55,"Yes"
"119",15232571,2016,55,"No"
"120",15154603,2016,25,"No"
"121",15060322,2016,27,"No"
"122",15000317,2016,26,"No"
"123",15135306,2016,43,"No"
"124",15067578,2016,43,"No"
"125",15184838,2016,43,"Yes"
"126",15032973,2016,1,"No"
"127",15315788,2016,27,"No"
"128",15381192,2016,14,"Yes"
"129",15132457,2016,43,"No"
"130",15110641,2016,56,"No"
"131",15160169,2016,27,"Yes"
"132",15235441,2016,21,"used"
"133",15011774,2016,29,"No"
"134",15281089,2016,35,"battery"
"135",15363731,2016,39,"Yes"
"136",15278378,2016,39,"No"
"137",15312654,2016,39,"No"
"138",15317653,2016,21,"No"
"139",15216307,2016,55,"Yes"
"140",15152026,2016,32,"No"
"141",15049523,2016,27,"No"
"142",15202073,2016,27,"Yes"
"143",15374544,2016,27,"No"
"144",15254226,2016,17,"No"
"145",15043264,2016,56,"Yes"
"146",15183248,2016,21,"No"
"147",14911839,2016,29,"Yes"
"148",15396011,2016,56,"Yes"
"149",15155851,2016,43,"No"
"150",15090821,2016,56,"Yes"
"151",15199759,2016,27,"requests"
"152",15111134,2016,56,"Yes"
"153",15217417,2016,53,"Yes"
"154",15011162,2016,55,"No"
"155",14905718,2016,31,"No"
"156",15245844,2016,55,"no"
"157",15300926,2016,30,"No"
"158",15226359,2016,30,"No"
"159",15152623,2016,54,"No"
"160",15165138,2016,55,"Yes"
"161",14911671,2016,55,"Yes"
"162",15363159,2016,43,"No"
"163",15196006,2016,43,"Yes"
"164",15217419,2016,56,"Yes"
"165",15132538,2016,27,"No"
"166",14911066,2016,43,"No"
"167",15179746,2016,43,"the"
"168",15240607,2016,43,"Yes"
"169",15113818,2016,43,"Yes"
"170",15247835,2016,55,"Yes"
"171",15158282,2016,21,"No"
"172",15108079,2016,43,"No"
"173",15305427,2016,25,"in"
"174",15373431,2016,54,"Yes"
"175",15294921,2016,55,"Yes"
"176",15166317,2016,27,"Yes"
"177",15382665,2016,14,"No"
"178",15284733,2016,56,"No"
"179",14996598,2016,55,"Yes"
"180",15086612,2016,14,"No"
"181",15374565,2016,16,"No"
"182",15186860,2016,43,"Yes"
"183",15054694,2016,38,"No"
"184",15054713,2016,27,"No"
"185",15187155,2016,30,"No"
"186",15345127,2016,36,"in"
