sic,year,num_obs,fraction,fraction_avg,fraction_general
1,2004,7,0,0.1,0.1
1,2005,3,0.3333333333,0.1,0.1
1,2006,2,0.5,0.1,0.1
1,2007,3,0,0.1,0.1
1,2008,10,0.3,0.1,0.1
1,2009,3,0,0.1,0.1
1,2010,4,0,0.1,0.1
1,2011,3,0,0.1,0.1
1,2012,4,0,0.1,0.1
1,2013,7,0.1428571429,0.1,0.1
1,2014,7,0,0.1,0.1
1,2015,0,#DIV/0!,0.1,0.1
1,2016,7,0,0.1,0.1
2,2004,2,0,0.1,0.1
2,2005,1,0,0.1,0.1
2,2006,2,0.5,0.1,0.1
2,2007,3,0,0.1,0.1
2,2008,3,0,0.1,0.1
2,2009,1,0,0.1,0.1
2,2010,1,0,0.1,0.1
2,2011,1,0,0.1,0.1
2,2012,5,0.2,0.1,0.1
2,2013,0,#DIV/0!,0.1,0.1
2,2014,1,0,0.1,0.1
2,2015,0,#DIV/0!,0.1,0.1
2,2016,0,#DIV/0!,0.1,0.1
6,2004,4,0.5,0.5348837209,0.5348837209
6,2005,7,0.4285714286,0.5348837209,0.5348837209
6,2006,9,0.6666666667,0.5348837209,0.5348837209
6,2007,4,0.5,0.5348837209,0.5348837209
6,2008,8,0.375,0.5348837209,0.5348837209
6,2009,10,0.4,0.5348837209,0.5348837209
6,2010,7,0.7142857143,0.5348837209,0.5348837209
6,2011,12,0.6666666667,0.5348837209,0.5348837209
6,2012,9,0.6666666667,0.5348837209,0.5348837209
6,2013,5,0.4,0.5348837209,0.5348837209
6,2014,8,0.5,0.5348837209,0.5348837209
6,2015,0,#DIV/0!,0.5348837209,0.5348837209
6,2016,3,0.3333333333,0.5348837209,0.5348837209
7,2004,11,0.6363636364,0.4539877301,0.4539877301
7,2005,7,0.4285714286,0.4539877301,0.4539877301
7,2006,18,0.5,0.4539877301,0.5
7,2007,15,0.3333333333,0.4539877301,0.4539877301
7,2008,20,0.5,0.4539877301,0.5
7,2009,18,0.4444444444,0.4539877301,0.4444444444
7,2010,16,0.75,0.4539877301,0.75
7,2011,13,0.1538461538,0.4539877301,0.4539877301
7,2012,14,0.4285714286,0.4539877301,0.4539877301
7,2013,12,0.5,0.4539877301,0.4539877301
7,2014,13,0.3846153846,0.4539877301,0.4539877301
7,2015,0,#DIV/0!,0.4539877301,0.4539877301
7,2016,6,0.1666666667,0.4539877301,0.4539877301
8,2004,3,0.6666666667,0.4027777778,0.4027777778
8,2005,9,0.7777777778,0.4027777778,0.4027777778
8,2006,11,0.3636363636,0.4027777778,0.4027777778
8,2007,1,0,0.4027777778,0.4027777778
8,2008,3,0.3333333333,0.4027777778,0.4027777778
8,2009,8,0.25,0.4027777778,0.4027777778
8,2010,6,0.1666666667,0.4027777778,0.4027777778
8,2011,6,0.1666666667,0.4027777778,0.4027777778
8,2012,8,0.75,0.4027777778,0.4027777778
8,2013,6,0.3333333333,0.4027777778,0.4027777778
8,2014,5,0.2,0.4027777778,0.4027777778
8,2015,0,#DIV/0!,0.4027777778,0.4027777778
8,2016,6,0.3333333333,0.4027777778,0.4027777778
11,2004,8,0.375,0.2631578947,0.2631578947
11,2005,10,0.4,0.2631578947,0.2631578947
11,2006,5,0,0.2631578947,0.2631578947
11,2007,5,0.2,0.2631578947,0.2631578947
11,2008,6,0.6666666667,0.2631578947,0.2631578947
11,2009,1,0,0.2631578947,0.2631578947
11,2010,3,0,0.2631578947,0.2631578947
11,2011,3,0.3333333333,0.2631578947,0.2631578947
11,2012,5,0.2,0.2631578947,0.2631578947
11,2013,3,0,0.2631578947,0.2631578947
11,2014,4,0.25,0.2631578947,0.2631578947
11,2015,0,#DIV/0!,0.2631578947,0.2631578947
11,2016,4,0,0.2631578947,0.2631578947
13,2004,5,0.8,0.6017699115,0.6017699115
13,2005,10,0.6,0.6017699115,0.6017699115
13,2006,16,0.625,0.6017699115,0.625
13,2007,10,0.5,0.6017699115,0.6017699115
13,2008,10,0.8,0.6017699115,0.6017699115
13,2009,5,0.4,0.6017699115,0.6017699115
13,2010,11,0.5454545455,0.6017699115,0.6017699115
13,2011,16,0.6875,0.6017699115,0.6875
13,2012,11,0.4545454545,0.6017699115,0.6017699115
13,2013,9,0.6666666667,0.6017699115,0.6017699115
13,2014,5,0.6,0.6017699115,0.6017699115
13,2015,0,#DIV/0!,0.6017699115,0.6017699115
13,2016,5,0.4,0.6017699115,0.6017699115
14,2004,33,0.3333333333,0.4615384615,0.3333333333
14,2005,14,0.4285714286,0.4615384615,0.4615384615
14,2006,14,0.4285714286,0.4615384615,0.4615384615
14,2007,22,0.5909090909,0.4615384615,0.5909090909
14,2008,28,0.4285714286,0.4615384615,0.4285714286
14,2009,14,0.3571428571,0.4615384615,0.4615384615
14,2010,21,0.3333333333,0.4615384615,0.3333333333
14,2011,16,0.5,0.4615384615,0.5
14,2012,21,0.380952381,0.4615384615,0.380952381
14,2013,22,0.8181818182,0.4615384615,0.8181818182
14,2014,18,0.5,0.4615384615,0.5
14,2015,0,#DIV/0!,0.4615384615,0.4615384615
14,2016,11,0.4545454545,0.4615384615,0.4615384615
15,2004,12,0.25,0.2335025381,0.2335025381
15,2005,9,0.1111111111,0.2335025381,0.2335025381
15,2006,17,0.2352941176,0.2335025381,0.2352941176
15,2007,12,0.25,0.2335025381,0.2335025381
15,2008,13,0.5384615385,0.2335025381,0.2335025381
15,2009,17,0.2352941176,0.2335025381,0.2352941176
15,2010,15,0.3333333333,0.2335025381,0.2335025381
15,2011,25,0.16,0.2335025381,0.16
15,2012,22,0.1818181818,0.2335025381,0.1818181818
15,2013,14,0.4285714286,0.2335025381,0.2335025381
