level_0,index,year,sic,desktop_cpu,server_cpu,mobile_cpu,server_gpu,mobile_gpu,desktop_gpu,desktop_cpu_fraction,server_cpu_fraction,mobile_cpu_fraction,server_gpu_fraction,mobile_gpu_fraction,desktop_gpu_fraction
0,0,2004,13,0.5,0.25,0.0,0.75,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,0.0
1,1,2004,20,0.0,0.0,0.0,0.0,0.0,0.0,0.483482424048294,0.2156773443484431,0.0,0.2439523241979217,0.0,0.05688790740534119
2,2,2004,22,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,3,2004,28,4.9375,5.6875,0.0,3.0208333333333335,0.0,1.0208333333333333,0.3366477272727273,0.38778409090909094,0.0,0.20596590909090912,0.0,0.06960227272727273
4,4,2004,29,0.5,0.25,0.0,0.75,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,0.0
5,5,2004,30,1.5,0.375,0.0,1.625,0.0,0.125,0.41379310344827586,0.10344827586206896,0.0,0.4482758620689655,0.0,0.034482758620689655
6,6,2004,32,0.14583333333333331,0.08333333333333333,0.0,0.6458333333333333,0.0,0.14583333333333331,0.14285714285714285,0.0816326530612245,0.0,0.6326530612244897,0.0,0.14285714285714285
7,7,2004,33,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.25,0.0,0.25,0.0,0.25
8,8,2004,34,1.9375,0.875,0.0,0.8125,0.0,0.3125,0.49206349206349215,0.22222222222222227,0.0,0.2063492063492064,0.0,0.07936507936507937
9,9,2004,35,42.80833333333333,28.645833333333332,0.0,5.433333333333334,0.0,2.370833333333333,0.5401114499001157,0.3614236147618547,0.0,0.06855220271264853,0.0,0.02991273262538114
10,10,2004,36,28.370833333333334,16.25,0.0,1.7458333333333333,0.0,1.6208333333333333,0.5912129894937918,0.3386298515238343,0.0,0.036381001997047836,0.0,0.03377615698532604
11,11,2004,37,9.541666666666666,1.7916666666666667,0.0,1.2916666666666667,0.0,0.041666666666666664,0.7532894736842104,0.14144736842105263,0.0,0.10197368421052631,0.0,0.0032894736842105257
12,12,2004,38,14.883333333333333,8.3125,0.0,3.6333333333333333,0.0,1.0083333333333333,0.5346505014219428,0.2986079928154468,0.0,0.13051938332584942,0.0,0.03622212243676096
13,13,2004,99,10.725,5.425,0.0,1.725,0.0,1.1416666666666666,0.5639789658194566,0.2852760736196319,0.0,0.09070990359333919,0.0,0.0600350569675723
14,14,2005,13,0.11875,0.0,0.2,0.2375,0.0,0.0,0.21348314606741575,0.0,0.3595505617977529,0.4269662921348315,0.0,0.0
15,15,2005,20,0.11875,0.11875,0.05,0.2375,0.0,0.0,0.22619047619047622,0.22619047619047622,0.09523809523809526,0.45238095238095244,0.0,0.0
16,16,2005,22,0.2375,0.7124999999999999,0.275,0.2375,0.0,0.0,0.1623931623931624,0.4871794871794871,0.18803418803418806,0.1623931623931624,0.0,0.0
17,17,2005,28,3.4516666666666667,13.260416666666666,1.7016666666666667,3.3724999999999996,0.0,1.2349999999999999,0.1499339378472788,0.5760076740692476,0.07391721416806936,0.14649508606179074,0.0,0.05364608785361351
18,18,2005,29,0.11875,0.0,0.2,0.2375,0.0,0.0,0.21348314606741575,0.0,0.3595505617977529,0.4269662921348315,0.0,0.0
19,19,2005,30,1.1875,0.7124999999999999,1.3250000000000002,0.8312499999999999,0.0,0.11875,0.28443113772455086,0.1706586826347305,0.31736526946107785,0.1991017964071856,0.0,0.028443113772455085
20,20,2005,32,0.6729166666666666,0.5541666666666667,0.7666666666666667,0.31666666666666665,0.0,0.07916666666666666,0.2816041848299913,0.23190932868352224,0.32083696599825634,0.13251961639058413,0.0,0.03312990409764603
21,21,2005,33,0.6333333333333333,0.5145833333333333,0.30833333333333335,1.8208333333333333,0.0,0.15833333333333333,0.18435415403274713,0.14978775015160703,0.08975136446331111,0.5300181928441481,0.0,0.04608853850818678
22,22,2005,34,0.6927083333333333,1.2864583333333333,1.7083333333333335,0.6927083333333333,0.0,0.3364583333333333,0.14686395759717316,0.2727473498233216,0.36219081272084813,0.14686395759717316,0.0,0.0713339222614841
23,23,2005,35,39.51208333333333,24.620833333333334,33.814166666666665,2.9568749999999997,0.0,2.7985416666666665,0.3810137974815778,0.237417934315309,0.32606896330046686,0.028513054169378747,0.0,0.026986250733267436
24,24,2005,36,21.56895833333333,15.041666666666666,20.915833333333335,1.9554166666666666,0.0,1.8366666666666667,0.3517526305596798,0.2453037247433994,0.3411012846168744,0.03188948421664193,0.0,0.02995287586340456
25,25,2005,37,6.076041666666667,2.1572916666666666,15.204166666666667,1.5041666666666667,0.0,0.07916666666666666,0.24283930058284764,0.08621981681931724,0.6076602830974189,0.060116569525395507,0.0,0.003164029975020816
26,26,2005,38,16.276666666666667,5.86625,17.254166666666666,2.6797916666666666,0.0,1.3735416666666667,0.37460323548872765,0.13501021279044123,0.39710014288317147,0.06167470584286687,0.0,0.03161170299479292
27,27,2005,99,14.535,5.620833333333333,18.997500000000002,2.0860416666666666,0.0,1.0172916666666667,0.34396939338960325,0.1330164865504457,0.4495740317109727,0.049365977754989354,0.0,0.024074110593989118
28,28,2006,13,0.23125,0.23125,0.15,0.0,0.0,0.0,0.3775510204081633,0.3775510204081633,0.24489795918367346,0.0,0.0,0.0
29,29,2006,20,0.115625,0.4625,0.44999999999999996,0.34687500000000004,0.0,0.0,0.08409090909090909,0.33636363636363636,0.3272727272727272,0.2522727272727273,0.0,0.0
30,30,2006,22,0.03854166666666667,0.03854166666666667,0.2375,0.03854166666666667,0.0,0.03854166666666667,0.09840425531914895,0.09840425531914895,0.6063829787234043,0.09840425531914895,0.0,0.09840425531914895
31,31,2006,28,5.588541666666667,9.982291666666667,3.1999999999999997,5.665625,0.0,0.8093750000000001,0.22136491170160094,0.395403531935963,0.12675358970127082,0.22441822082851956,0.0,0.032059745832645654
32,32,2006,29,0.23125,0.23125,0.15,0.0,0.0,0.0,0.3775510204081633,0.3775510204081633,0.24489795918367346,0.0,0.0,0.0
33,33,2006,30,1.8307291666666667,1.2526041666666667,1.4375,1.1369791666666667,0.0,0.21197916666666666,0.31188997338065666,0.21339840283939665,0.2448979591836735,0.19370008873114464,0.0,0.036113575865128665
34,34,2006,32,0.624375,0.5203125,0.7275,1.665,0.0,0.2775,0.16367657901204227,0.1363971491767019,0.19071024821823546,0.4364708773654461,0.0,0.07274514622757436
35,35,2006,33,0.07708333333333334,0.07708333333333334,0.39999999999999997,2.3895833333333334,0.0,0.07708333333333334,0.025517241379310347,0.025517241379310347,0.13241379310344828,0.7910344827586208,0.0,0.025517241379310347
36,36,2006,34,2.177604166666667,0.6744791666666667,2.8625,1.5994791666666668,0.0,0.21197916666666666,0.2893425605536332,0.08961937716262977,0.38034602076124563,0.21252595155709345,0.0,0.028166089965397923
37,37,2006,35,43.394062500000004,21.020625000000003,49.105,4.582604166666667,0.0,2.848229166666667,0.35877532565399933,0.17379524168371194,0.4059924642049736,0.03788825492518032,0.0,0.023548713532134783
38,38,2006,36,22.269375,13.528125000000001,34.74125,2.940729166666667,0.0,1.9386458333333334,0.29527882057529276,0.17937498446162645,0.46064855099487023,0.03899233992712848,0.0,0.025705304041082077
39,39,2006,37,6.590625,1.734375,25.66875,1.7151041666666667,0.0,0.09635416666666667,0.18406889128094725,0.04843918191603875,0.7168998923573735,0.04790096878363832,0.0,0.002691065662002153
40,40,2006,38,15.439791666666668,8.802916666666667,24.919999999999998,2.0272916666666667,0.0,1.1022916666666667,0.295259419210129,0.16834061744281942,0.47655207308279185,0.03876846093472987,0.0,0.021079429329529928
41,41,2006,99,15.705729166666668,5.565416666666667,31.9,2.0234375,0.0,1.5609375,0.2767260160079875,0.09805947659276906,0.5620598583471139,0.035651818013299,0.0,0.027502831038830663
42,42,2007,13,0.0,0.225,0.30000000000000004,0.675,0.0,0.0,0.0,0.18749999999999997,0.25,0.5625,0.0,0.0
43,43,2007,20,0.1875,0.1125,0.08333333333333334,0.75,0.0,0.0,0.16544117647058823,0.09926470588235295,0.0735294117647059,0.6617647058823529,0.0,0.0
44,44,2007,22,0.16875,0.16875,0.2,0.50625,0.0,0.05625,0.15340909090909094,0.15340909090909094,0.18181818181818185,0.4602272727272727,0.0,0.05113636363636364
45,45,2007,28,4.8375,8.1,3.6,3.0375,0.0,1.0125,0.23497267759562843,0.39344262295081966,0.1748633879781421,0.1475409836065574,0.0,0.04918032786885246
46,46,2007,29,0.0,0.225,0.30000000000000004,0.675,0.0,0.0,0.0,0.18749999999999997,0.25,0.5625,0.0,0.0
47,47,2007,30,0.6375,0.4125,1.8833333333333335,1.2,0.0,0.075,0.15148514851485145,0.098019801980198,0.44752475247524753,0.2851485148514851,0.0,0.01782178217821782
48,48,2007,32,0.45,0.9,1.35,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0
49,49,2007,33,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,50,2007,34,1.0875,0.4875,4.633333333333334,0.9375,0.0,0.11249999999999999,0.14982778415614234,0.06716417910447761,0.6383467278989667,0.12916188289322617,0.0,0.015499425947187138
51,51,2007,35,43.185,18.337500000000002,63.915000000000006,5.89125,0.0,3.56625,0.3201378850216835,0.13593906371622375,0.4738129656399422,0.04367285666629601,0.0,0.026437228955854552
52,52,2007,36,23.445,10.9575,45.845000000000006,2.52,0.0,1.395,0.2785682459527699,0.13019456408733104,0.544720035645329,0.029942076340412887,0.0,0.016575077974157134
53,53,2007,37,6.6375,1.125,34.075,1.1812500000000001,0.0,0.28125,0.15329099307159352,0.02598152424942263,0.7869515011547344,0.027280600461893765,0.0,0.006495381062355658
54,54,2007,38,16.82625,5.97,35.678333333333335,3.13875,0.0,1.33875,0.26728662673329584,0.09483403382202071,0.5667538140781679,0.049859350696627724,0.0,0.021266174669887814
55,55,2007,99,20.355,7.4475,42.84666666666667,4.1175,0.0,1.7925,0.26587279990421353,0.09727770460754755,0.5596542978741932,0.05378193336308519,0.0,0.023413264250960585
56,56,2008,13,0.1125,0.225,0.25,0.0,0.0,0.0,0.19148936170212766,0.3829787234042553,0.425531914893617,0.0,0.0,0.0
57,57,2008,20,0.15,0.675,0.4166666666666667,0.15,0.0,0.0,0.10778443113772455,0.4850299401197605,0.29940119760479045,0.10778443113772455,0.0,0.0
58,58,2008,22,0.0,0.225,0.25,0.0,0.0,0.0,0.0,0.4736842105263158,0.5263157894736842,0.0,0.0,0.0
59,59,2008,28,5.2125,9.2625,3.2666666666666666,3.0,0.0,0.975,0.240023023791251,0.4265157329240215,0.15042210283960095,0.13814274750575598,0.0,0.044896392939370686
60,60,2008,29,0.1125,0.225,0.25,0.0,0.0,0.0,0.19148936170212766,0.3829787234042553,0.425531914893617,0.0,0.0,0.0
61,61,2008,30,1.1625,0.9375,2.566666666666667,1.5,0.0,0.15,0.18403693931398415,0.1484168865435356,0.40633245382585753,0.23746701846965695,0.0,0.023746701846965697
62,62,2008,32,0.39375,0.61875,2.25,0.73125,0.0,0.05625,0.09722222222222222,0.1527777777777778,0.5555555555555556,0.18055555555555555,0.0,0.01388888888888889
63,63,2008,33,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,64,2008,34,1.275,0.15,3.6166666666666667,1.2750000000000001,0.0,0.15,0.19716494845360824,0.02319587628865979,0.5592783505154639,0.19716494845360827,0.0,0.02319587628865979
65,65,2008,35,44.115,21.5625,64.54,4.9275,0.0,2.34,0.32087136778557657,0.15683529112266792,0.4694330290577154,0.03584027348438011,0.0,0.01702003854965996
66,66,2008,36,20.265,12.0825,44.25666666666667,2.9025,0.0,2.115,0.248279664304821,0.14803054744451022,0.5422171400567659,0.035560410838625364,0.0,0.025912237355277395
