"","year","sic","count"
"1",2004,2,2
"2",2004,6,4
"3",2004,8,3
"4",2004,19,1
"5",2004,23,1
"6",2004,47,1
"7",2004,50,1
"8",2004,51,2
"9",2004,53,4
"10",2005,1,3
"11",2005,2,1
"12",2005,19,4
"13",2005,50,1
"14",2005,51,4
"15",2005,53,1
"16",2006,1,2
"17",2006,2,2
"18",2006,20,1
"19",2006,23,1
"20",2006,47,1
"21",2006,49,3
"22",2006,51,2
"23",2006,53,2
"24",2007,1,3
"25",2007,2,3
"26",2007,6,4
"27",2007,8,1
"28",2007,19,2
"29",2007,23,1
"30",2007,47,2
"31",2007,50,4
"32",2007,51,4
"33",2007,53,3
"34",2008,2,3
"35",2008,8,3
"36",2008,19,1
"37",2008,20,3
"38",2008,23,1
"39",2008,47,3
"40",2008,50,4
"41",2008,51,1
"42",2009,1,3
"43",2009,2,1
"44",2009,11,1
"45",2009,19,3
"46",2009,20,4
"47",2009,23,3
"48",2009,47,1
"49",2009,49,3
"50",2009,51,2
"51",2010,1,4
"52",2010,2,1
"53",2010,11,3
"54",2010,19,2
"55",2010,20,4
"56",2010,32,3
"57",2010,47,1
"58",2010,50,4
"59",2010,51,3
"60",2011,1,3
"61",2011,2,1
"62",2011,11,3
"63",2011,20,2
"64",2011,47,1
"65",2011,50,1
"66",2011,51,2
"67",2011,53,4
"68",2012,1,4
"69",2012,20,2
"70",2012,23,1
"71",2012,32,4
"72",2012,47,1
"73",2012,51,4
"74",2012,53,2
"75",2013,11,3
"76",2013,23,1
"77",2013,47,2
"78",2013,50,4
"79",2014,2,1
"80",2014,11,4
"81",2014,19,1
"82",2014,23,2
"83",2014,47,1
"84",2014,50,1
"85",2014,51,2
"86",2016,6,3
"87",2016,11,4
"88",2016,32,2
"89",2016,42,3
"90",2016,47,1
"91",2016,49,3
"92",2016,50,3
"93",2016,51,1
"94",2016,53,3
